sample_id,ox_code,src_code,population,country,location,site,contributor,contact,year,m_s,sex,n_sequences,mean_coverage,ebi_sample_acc,latitude,longitude,sample_set,taxon,phase2_population,primary_taxon,year_original,year_numeric,taxon_marker_based_handoff,primary_taxon_marker_based_handoff,population_id,population_id_source,population_defined,sex_normalized,known_male_for_x_fallback
AR0001-C,AR0001-C,LUA001,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,113692568,34.63,ERS224790,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0007-C,AR0007-C,LUA007,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99082110,31.48,ERS224256,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0008-C,AR0008-C,LUA008,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,91490260,29.21,ERS224129,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0009-C,AR0009-C,LUA009,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105932994,33.27,ERS224325,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0010-C,AR0010-C,LUA010,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,115066732,37.74,ERS224099,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0011-C,AR0011-C,LUA011,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105048076,31.87,ERS224318,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0012-C,AR0012-C,LUA012,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,105096046,35,ERS224230,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0013-C,AR0013-C,LUA013,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,82229076,26.03,ERS224323,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0014-C,AR0014-C,LUA014,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,104423686,32.76,ERS224282,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0015-C,AR0015-C,LUA015,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,89544974,29.3,ERS224131,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0016-C,AR0016-C,LUA016,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,82045122,25.74,ERS224127,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0017-C,AR0017-C,LUA017,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,88461946,27.97,ERS224124,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0018-C,AR0018-C,LUA018,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,39967272,12.87,ERS224234,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0019-C,AR0019-C,LUA019,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,92841496,30.47,ERS224138,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0020-C,AR0020-C,LUA020,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,89507990,27.64,ERS224267,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0021-C,AR0021-C,LUA021,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,62409564,19.44,ERS224126,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0022-C,AR0022-C,LUA022,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,94378862,29.11,ERS224289,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0023-C,AR0023-C,LUA023,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,94617032,29.16,ERS224251,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0024-C,AR0024-C,LUA024,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99928404,29.92,ERS224280,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0026-C,AR0026-C,LUA026,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,100980310,30.44,ERS254305,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0027-C,AR0027-C,LUA027,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,98051838,29.99,ERS224329,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0034-C,AR0034-C,LUA034,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,71622878,22.72,ERS224145,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0035-C,AR0035-C,LUA035,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99249560,30.99,ERS224333,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0036-C,AR0036-C,LUA036,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,91177826,28.77,ERS224799,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0038-C,AR0038-C,LUA038,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99089092,31.22,ERS224172,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0040-C,AR0040-C,LUA040,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,94618282,29.35,ERS224793,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0042-C,AR0042-C,LUA042,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,97098524,31.55,ERS224189,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0043-C,AR0043-C,LUA043,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,98518316,31.59,ERS224331,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0044-C,AR0044-C,LUA044,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,91597590,28.16,ERS224797,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0045-C,AR0045-C,LUA045,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,116771594,36.22,ERS224327,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0046-C,AR0046-C,LUA046,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,108287260,32.6,ERS224798,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0047-C,AR0047-C,LUA047,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,81491198,27.21,ERS224005,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0048-C,AR0048-C,LUA048,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,109890310,34.46,ERS224299,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0049-C,AR0049-C,LUA049,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,83078320,27.98,ERS224019,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0050-C,AR0050-C,LUA050,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,102737040,30.49,ERS224177,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0051-C,AR0051-C,LUA051,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,77649564,26.09,ERS224026,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0052-C,AR0052-C,LUA052,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,93684502,29.24,ERS224794,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0053-C,AR0053-C,LUA053,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,84177928,26.5,ERS254306,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0054-C,AR0054-C,LUA054,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,81028790,26.03,ERS224119,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0057-C,AR0057-C,LUA057,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,92649398,29.78,ERS224175,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0059-C,AR0059-C,LUA059,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,102290938,33.05,ERS224297,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0060-C,AR0060-C,LUA060,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,99223056,31.57,ERS224269,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0061-C,AR0061-C,LUA061,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,69163440,22.49,ERS224033,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0062-C,AR0062-C,LUA062,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,88068714,27.66,ERS224257,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0063-C,AR0063-C,LUA063,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,83878848,27.57,ERS224196,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0064-C,AR0064-C,LUA064,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,88506992,28.54,ERS224795,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0065-C,AR0065-C,LUA065,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,122255572,38.85,ERS224237,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0066-C,AR0066-C,LUA066,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,107451220,34.62,ERS224236,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0069-C,AR0069-C,LUA069,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,102197788,34.18,ERS224183,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0070-C,AR0070-C,LUA070,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,120095148,31.28,ERS224088,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0071-C,AR0071-C,LUA071,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,96425146,29.99,ERS224194,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0072-C,AR0072-C,LUA072,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,292235984,21.9,ERS224075,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0073-C,AR0073-C,LUA073,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,84873846,27.52,ERS224791,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0074-C,AR0074-C,LUA074,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,107677226,33.67,ERS224306,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0075-C,AR0075-C,LUA075,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,96055776,30.7,ERS224330,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0076-C,AR0076-C,LUA076,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,86444090,27.6,ERS224176,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0077-C,AR0077-C,LUA077,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,106801560,33.76,ERS224255,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0078-C,AR0078-C,LUA078,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,70866952,23.56,ERS224040,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0079-C,AR0079-C,LUA079,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,87568936,27.65,ERS224321,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0080-C,AR0080-C,LUA080,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,85810328,28.19,ERS224047,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0081-C,AR0081-C,LUA081,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,92393940,29.8,ERS224268,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0082-C,AR0082-C,LUA082,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,89230312,28.14,ERS224128,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0083-C,AR0083-C,LUA083,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,117154794,37.91,ERS224120,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0084-C,AR0084-C,LUA084,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,71109824,16.97,ERS224054,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0085-C,AR0085-C,LUA085,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,87196016,29.07,ERS224164,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0086-C,AR0086-C,LUA086,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,76974012,24.12,ERS224152,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0087-C,AR0087-C,LUA087,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,139663142,44.39,ERS224231,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0088-C,AR0088-C,LUA088,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,98923748,31.98,ERS224215,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0089-C,AR0089-C,LUA089,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,102285596,32.64,ERS224186,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0090-C,AR0090-C,LUA090,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,119250566,39.05,ERS224106,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0092-C,AR0092-C,LUA092,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,85819022,27.97,ERS224123,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0093-C,AR0093-C,LUA093,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,101877796,32.73,ERS224121,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0095-C,AR0095-C,LUA095,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,76031354,24.89,ERS224097,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0096-C,AR0096-C,LUA096,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,109267536,34.46,ERS224201,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0097-C,AR0097-C,LUA097,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,98942016,32.57,ERS224061,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0098-C,AR0098-C,LUA098,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,92951040,30.71,ERS224098,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0099-C,AR0099-C,LUA099,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,74509650,26.08,ERS224068,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AR0100-C,AR0100-C,LUA100,AOcol,Angola,,Luanda,Joao Pinto,Joao Pinto,2009,M,F,117396356,37.25,ERS224144,-8.821,13.291,AG1000G-PHASE2-AR1,coluzzii,AOcol,TRUE,2009,2009,coluzzii,TRUE,AOcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0087-C,AB0087-C,BF3-3,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,116706234,36.76,ERS224013,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0088-C,AB0088-C,BF3-5,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,112090460,23.3,ERS223991,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0089-C,AB0089-C,BF3-8,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,145350454,41.36,ERS224031,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0090-C,AB0090-C,BF3-10,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,105012254,34.64,ERS223936,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0091-C,AB0091-C,BF3-12,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,98833426,29.97,ERS224065,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
AB0092-C,AB0092-C,BF3-13,BFcol,Burkina Faso,,Bana,Austin Burt,Sam O'Loughlin,2012,M,F,89897604,29.79,ERS224043,11.233,-4.472,AG1000G-PHASE2-AR1,coluzzii,BFcol,TRUE,2012,2012,coluzzii,TRUE,BFcol,PHASE2_RELEASE_POPULATION,TRUE,f,FALSE
